epoch (ms),occurence_time,elapsed (s),x-axis (g),y-axis (g),z-axis (g),state
1541980000000.0,2018-11-11T17:56:31.459,4.381,-0.011000000000000001,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:31.459,4.381,-0.012,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:31.459,4.381,-0.012,0.008,1.002,SITTING
1541980000000.0,2018-11-11T17:56:31.692,4.614,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.692,4.614,-0.012,0.006999999999999999,1.002,SITTING
1541980000000.0,2018-11-11T17:56:31.692,4.614,-0.011000000000000001,0.006999999999999999,1.002,SITTING
1541980000000.0,2018-11-11T17:56:31.944,4.8660000000000005,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.944,4.8660000000000005,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.944,4.8660000000000005,-0.012,0.008,1.002,SITTING
1541980000000.0,2018-11-11T17:56:32.178,5.1,-0.011000000000000001,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.178,5.1,-0.011000000000000001,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:32.178,5.1,-0.011000000000000001,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.447,5.369,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.447,5.369,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.447,5.369,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.662,5.584,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.662,5.584,-0.011000000000000001,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:32.662,5.584,-0.012,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:32.910,5.832000000000001,-0.012,0.008,1.001,STANDING
1541980000000.0,2018-11-11T17:56:32.910,5.832000000000001,-0.012,0.008,1.002,STANDING
1541980000000.0,2018-11-11T17:56:32.910,5.832000000000001,-0.012,0.006999999999999999,1.001,STANDING
1541980000000.0,2018-11-11T17:56:33.160,6.082000000000001,0.048,0.011000000000000001,1.06,STANDING
1541980000000.0,2018-11-11T17:56:33.160,6.082000000000001,-0.036000000000000004,0.091,1.354,STANDING
1541980000000.0,2018-11-11T17:56:33.160,6.082000000000001,0.003,-0.096,1.475,STANDING
1541980000000.0,2018-11-11T17:56:33.398,6.32,-0.087,-0.038,1.38,STANDING
1541980000000.0,2018-11-11T17:56:33.398,6.32,-0.16,0.264,0.773,STANDING
1541980000000.0,2018-11-11T17:56:33.398,6.32,-0.35600000000000004,0.5920000000000001,0.32299999999999995,STANDING
1541980000000.0,2018-11-11T17:56:33.630,6.5520000000000005,-0.621,0.49200000000000005,0.044000000000000004,STANDING
1541980000000.0,2018-11-11T17:56:33.630,6.5520000000000005,-0.7290000000000001,0.45799999999999996,0.16699999999999998,STANDING
1541980000000.0,2018-11-11T17:56:33.630,6.5520000000000005,-0.745,0.19399999999999998,0.322,STANDING
1541980000000.0,2018-11-11T17:56:33.882,6.803999999999999,-0.8859999999999999,-0.243,0.465,STANDING
1541980000000.0,2018-11-11T17:56:33.882,6.803999999999999,-0.8190000000000001,-0.142,0.649,STANDING
