epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1544560892251,2018-12-11T15:41:32.251,0.000,3.659,11.220,-5.183
1544560892251,2018-12-11T15:41:32.251,0.000,4.329,11.829,-4.878
1544560892251,2018-12-11T15:41:32.251,0.000,5.915,12.378,-5.000
1544560892380,2018-12-11T15:41:32.380,0.129,5.427,7.317,-2.927
1544560892380,2018-12-11T15:41:32.380,0.129,2.500,1.402,-0.915
1544560892380,2018-12-11T15:41:32.380,0.129,-0.061,-3.171,0.976
1544560892508,2018-12-11T15:41:32.508,0.257,-2.073,-5.000,2.500
1544560892508,2018-12-11T15:41:32.508,0.257,-2.134,-5.061,2.256
1544560892508,2018-12-11T15:41:32.508,0.257,-0.976,-4.634,0.366
1544560892632,2018-12-11T15:41:32.632,0.381,0.549,-2.561,-1.646
1544560892632,2018-12-11T15:41:32.632,0.381,2.622,3.841,-2.500
1544560892632,2018-12-11T15:41:32.632,0.381,3.720,8.902,-2.012
1544560892743,2018-12-11T15:41:32.743,0.492,2.500,6.707,-0.244
1544560892743,2018-12-11T15:41:32.743,0.492,0.244,0.610,1.707
1544560892743,2018-12-11T15:41:32.743,0.492,-1.585,-4.207,3.049
1544560892868,2018-12-11T15:41:32.868,0.617,-1.951,-5.366,3.659
1544560892868,2018-12-11T15:41:32.868,0.617,-0.854,-3.841,3.354
1544560892868,2018-12-11T15:41:32.868,0.617,0.976,-0.488,2.439
1544560892992,2018-12-11T15:41:32.992,0.741,2.927,5.366,1.341
1544560892992,2018-12-11T15:41:32.992,0.741,3.902,9.390,-0.793
1544560892992,2018-12-11T15:41:32.992,0.741,3.902,8.293,-2.744
1544560893109,2018-12-11T15:41:33.109,0.858,3.354,4.512,-1.585
1544560893109,2018-12-11T15:41:33.109,0.858,1.341,-0.854,1.098
1544560893109,2018-12-11T15:41:33.109,0.858,-0.732,-6.951,0.854
1544560893268,2018-12-11T15:41:33.268,1.017,-1.707,-7.500,-0.427
1544560893268,2018-12-11T15:41:33.268,1.017,-1.098,-3.110,-0.915
1544560893268,2018-12-11T15:41:33.268,1.017,0.366,2.012,-1.280
1544560893383,2018-12-11T15:41:33.383,1.132,0.915,3.780,-1.463
1544560893383,2018-12-11T15:41:33.383,1.132,0.305,1.646,-1.037
1544560893383,2018-12-11T15:41:33.383,1.132,-0.793,-0.732,-0.488
1544560893501,2018-12-11T15:41:33.501,1.250,-1.524,-0.549,-0.244
1544560893501,2018-12-11T15:41:33.501,1.250,-1.402,0.305,0.000
1544560893501,2018-12-11T15:41:33.501,1.250,-1.098,0.671,-0.061
1544560893610,2018-12-11T15:41:33.610,1.359,-0.122,1.402,-0.549
1544560893610,2018-12-11T15:41:33.610,1.359,0.976,2.744,-1.402
1544560893610,2018-12-11T15:41:33.610,1.359,1.646,3.598,-1.829
1544560893714,2018-12-11T15:41:33.714,1.463,2.134,4.756,-1.707
1544560893714,2018-12-11T15:41:33.714,1.463,2.256,5.305,-1.220
1544560893714,2018-12-11T15:41:33.714,1.463,1.951,5.000,-0.732
1544560893826,2018-12-11T15:41:33.826,1.575,1.707,3.476,-0.305
1544560893826,2018-12-11T15:41:33.826,1.575,1.585,2.866,-0.061
1544560893826,2018-12-11T15:41:33.826,1.575,1.646,3.293,0.061
