epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1544563086332,2018-12-11T16:18:06.332,0.000,1.280,-0.183,2.439
1544563086332,2018-12-11T16:18:06.332,0.000,1.707,-0.854,2.256
1544563086332,2018-12-11T16:18:06.332,0.000,3.659,-5.061,0.305
1544563086456,2018-12-11T16:18:06.456,0.124,5.732,-4.085,0.061
1544563086456,2018-12-11T16:18:06.456,0.124,6.402,4.512,-0.427
1544563086456,2018-12-11T16:18:06.456,0.124,5.976,5.976,-1.280
1544563086578,2018-12-11T16:18:06.578,0.246,4.390,-0.854,-1.159
1544563086578,2018-12-11T16:18:06.578,0.246,2.500,-3.415,-1.463
1544563086578,2018-12-11T16:18:06.578,0.246,1.280,-2.500,-1.280
1544563086727,2018-12-11T16:18:06.727,0.395,1.402,-1.646,-0.793
1544563086727,2018-12-11T16:18:06.727,0.395,2.500,-1.768,-0.488
1544563086727,2018-12-11T16:18:06.727,0.395,3.232,-1.890,0.183
1544563086840,2018-12-11T16:18:06.840,0.508,4.451,-1.341,0.427
1544563086840,2018-12-11T16:18:06.840,0.508,5.244,0.732,0.061
1544563086840,2018-12-11T16:18:06.840,0.508,2.927,2.927,0.061
1544563086937,2018-12-11T16:18:06.937,0.605,0.976,0.854,0.122
1544563086937,2018-12-11T16:18:06.937,0.605,0.061,-5.793,-0.183
1544563086937,2018-12-11T16:18:06.937,0.605,-1.463,-8.476,-0.183
1544563087063,2018-12-11T16:18:07.063,0.731,-2.134,-6.098,-0.122
1544563087063,2018-12-11T16:18:07.063,0.731,-2.256,-6.037,-1.037
1544563087063,2018-12-11T16:18:07.063,0.731,-2.622,-10.671,-4.390
1544563087201,2018-12-11T16:18:07.201,0.869,-2.073,-27.073,-3.780
1544563087201,2018-12-11T16:18:07.201,0.869,-3.354,-29.329,-3.598
1544563087201,2018-12-11T16:18:07.201,0.869,-5.183,-26.098,-7.500
1544563087310,2018-12-11T16:18:07.310,0.978,-5.549,-38.354,-7.683
1544563087310,2018-12-11T16:18:07.310,0.978,-5.732,-37.683,-3.293
1544563087310,2018-12-11T16:18:07.310,0.978,-7.500,-19.878,-1.890
1544563087424,2018-12-11T16:18:07.424,1.092,-8.049,-16.951,-2.317
1544563087424,2018-12-11T16:18:07.424,1.092,-5.305,-22.988,-0.305
1544563087424,2018-12-11T16:18:07.424,1.092,-2.012,-13.354,1.159
1544563087546,2018-12-11T16:18:07.546,1.214,-0.427,-0.244,1.280
1544563087546,2018-12-11T16:18:07.546,1.214,0.793,4.512,1.220
1544563087546,2018-12-11T16:18:07.546,1.214,2.073,3.049,0.976
1544563087674,2018-12-11T16:18:07.674,1.342,2.805,4.085,0.122
1544563087674,2018-12-11T16:18:07.674,1.342,2.561,2.988,-0.427
1544563087674,2018-12-11T16:18:07.674,1.342,1.707,1.463,-0.427
1544563087796,2018-12-11T16:18:07.796,1.464,0.305,0.122,-0.854
1544563087796,2018-12-11T16:18:07.796,1.464,-0.610,-4.268,-2.256
1544563087796,2018-12-11T16:18:07.796,1.464,-0.305,-9.939,-2.683
1544563087909,2018-12-11T16:18:07.909,1.577,-0.244,-9.207,-2.866
1544563087909,2018-12-11T16:18:07.909,1.577,-0.122,-4.573,-1.707
1544563087909,2018-12-11T16:18:07.909,1.577,0.122,0.122,-0.488
1544563088033,2018-12-11T16:18:08.033,1.701,-1.098,-0.732,-0.732
1544563088033,2018-12-11T16:18:08.033,1.701,-1.890,-4.512,-0.549
1544563088033,2018-12-11T16:18:08.033,1.701,-1.768,-6.463,0.183
1544563088151,2018-12-11T16:18:08.151,1.819,-1.341,-6.280,0.244
1544563088151,2018-12-11T16:18:08.151,1.819,-1.341,-4.390,0.000
1544563088151,2018-12-11T16:18:08.151,1.819,-0.793,-2.317,0.366
1544563088274,2018-12-11T16:18:08.274,1.942,-0.366,-1.585,0.366
1544563088274,2018-12-11T16:18:08.274,1.942,-0.488,-1.402,-0.122
1544563088274,2018-12-11T16:18:08.274,1.942,-1.646,-3.171,-0.854
1544563088401,2018-12-11T16:18:08.401,2.069,-3.720,-9.512,-1.280
1544563088401,2018-12-11T16:18:08.401,2.069,-4.207,-17.256,-1.402
1544563088401,2018-12-11T16:18:08.401,2.069,-3.720,-21.768,-2.622
1544563088514,2018-12-11T16:18:08.514,2.182,-2.622,-21.951,-2.622
1544563088514,2018-12-11T16:18:08.514,2.182,-2.805,-13.963,-2.561
1544563088514,2018-12-11T16:18:08.514,2.182,-3.659,-5.793,-1.890
1544563088637,2018-12-11T16:18:08.637,2.305,-2.683,-1.829,-0.793
1544563088637,2018-12-11T16:18:08.637,2.305,-0.915,-0.366,0.427
1544563088637,2018-12-11T16:18:08.637,2.305,0.183,-0.488,0.732
1544563088761,2018-12-11T16:18:08.761,2.429,0.671,-1.890,0.427
1544563088761,2018-12-11T16:18:08.761,2.429,1.768,-3.293,-0.793
1544563088761,2018-12-11T16:18:08.761,2.429,2.500,-0.610,-1.159
1544563088882,2018-12-11T16:18:08.882,2.550,2.256,4.634,0.000
1544563088882,2018-12-11T16:18:08.882,2.550,2.500,5.305,0.549
1544563088882,2018-12-11T16:18:08.882,2.550,2.317,3.293,0.366
1544563089003,2018-12-11T16:18:09.003,2.671,0.915,1.463,1.280
1544563089003,2018-12-11T16:18:09.003,2.671,-1.220,4.451,-0.305
1544563089003,2018-12-11T16:18:09.003,2.671,3.720,57.683,-6.341
1544563089116,2018-12-11T16:18:09.116,2.784,5.610,120.244,0.488
