epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1544566442307,2018-12-11T17:14:02.307,0.000,-0.610,-7.317,1.402
1544566442307,2018-12-11T17:14:02.307,0.000,-0.427,-6.768,1.098
1544566442307,2018-12-11T17:14:02.307,0.000,0.305,-4.024,1.585
1544566442427,2018-12-11T17:14:02.427,0.120,1.220,-1.890,2.256
1544566442427,2018-12-11T17:14:02.427,0.120,1.890,-2.073,2.378
1544566442427,2018-12-11T17:14:02.427,0.120,1.768,-2.622,1.951
1544566442547,2018-12-11T17:14:02.547,0.240,1.159,-1.829,1.524
1544566442547,2018-12-11T17:14:02.547,0.240,0.610,-0.061,1.585
1544566442547,2018-12-11T17:14:02.547,0.240,0.122,1.463,1.280
1544566442660,2018-12-11T17:14:02.660,0.353,-0.244,2.439,0.915
1544566442660,2018-12-11T17:14:02.660,0.353,-0.244,2.744,0.793
1544566442660,2018-12-11T17:14:02.660,0.353,-0.854,1.707,0.488
1544566442786,2018-12-11T17:14:02.786,0.479,-1.341,-0.244,-0.183
1544566442786,2018-12-11T17:14:02.786,0.479,-0.915,-0.915,-0.061
1544566442786,2018-12-11T17:14:02.786,0.479,-0.915,-0.854,0.122
1544566442922,2018-12-11T17:14:02.922,0.615,-0.915,-0.427,-0.183
1544566442922,2018-12-11T17:14:02.922,0.615,-0.488,0.854,-0.183
1544566442922,2018-12-11T17:14:02.922,0.615,-0.305,1.707,-0.122
1544566443021,2018-12-11T17:14:03.021,0.714,-0.488,1.524,-0.244
1544566443021,2018-12-11T17:14:03.021,0.714,-0.976,0.793,-0.488
1544566443021,2018-12-11T17:14:03.021,0.714,-1.220,-0.244,-0.610
1544566443145,2018-12-11T17:14:03.145,0.838,-1.037,-0.976,-0.427
1544566443145,2018-12-11T17:14:03.145,0.838,-0.732,-0.854,-0.366
1544566443145,2018-12-11T17:14:03.145,0.838,-0.244,-0.427,-0.366
1544566443272,2018-12-11T17:14:03.272,0.965,0.122,0.671,-0.366
1544566443272,2018-12-11T17:14:03.272,0.965,0.183,1.098,-0.122
1544566443272,2018-12-11T17:14:03.272,0.965,-0.122,2.378,-0.183
1544566443378,2018-12-11T17:14:03.378,1.071,-0.366,2.683,0.305
1544566443378,2018-12-11T17:14:03.378,1.071,-1.280,1.707,0.732
1544566443378,2018-12-11T17:14:03.378,1.071,-2.866,1.707,-0.366
1544566443503,2018-12-11T17:14:03.503,1.196,-2.744,2.195,-0.854
1544566443503,2018-12-11T17:14:03.503,1.196,-1.768,4.146,-0.305
1544566443503,2018-12-11T17:14:03.503,1.196,-1.951,8.293,-0.549
1544566443618,2018-12-11T17:14:03.618,1.311,-1.402,12.256,-1.646
1544566443618,2018-12-11T17:14:03.618,1.311,0.000,14.146,-1.220
1544566443618,2018-12-11T17:14:03.618,1.311,-0.061,14.634,0.488
1544566443739,2018-12-11T17:14:03.739,1.432,-1.402,10.610,1.585
1544566443739,2018-12-11T17:14:03.739,1.432,-3.476,4.329,1.220
1544566443739,2018-12-11T17:14:03.739,1.432,-5.610,-0.976,0.366
1544566443863,2018-12-11T17:14:03.863,1.556,-6.768,-1.829,-0.976
1544566443863,2018-12-11T17:14:03.863,1.556,-6.220,3.720,-2.622
1544566443863,2018-12-11T17:14:03.863,1.556,-4.695,12.500,-2.927
1544566443975,2018-12-11T17:14:03.975,1.668,-2.622,19.207,-2.744
1544566443975,2018-12-11T17:14:03.975,1.668,-0.610,21.707,-2.012
1544566443975,2018-12-11T17:14:03.975,1.668,1.159,22.805,-0.976
1544566444110,2018-12-11T17:14:04.110,1.803,1.402,24.268,-0.427
1544566444110,2018-12-11T17:14:04.110,1.803,1.280,20.244,-0.366
1544566444110,2018-12-11T17:14:04.110,1.803,0.488,8.720,0.305
1544566444224,2018-12-11T17:14:04.224,1.917,-0.671,-5.915,1.037
1544566444224,2018-12-11T17:14:04.224,1.917,-1.159,-17.134,0.732
1544566444224,2018-12-11T17:14:04.224,1.917,-1.585,-22.988,0.427
1544566444337,2018-12-11T17:14:04.337,2.030,-2.073,-22.622,-0.244
1544566444337,2018-12-11T17:14:04.337,2.030,-1.707,-16.402,-0.488
1544566444337,2018-12-11T17:14:04.337,2.030,-0.305,-5.854,0.366
1544566444461,2018-12-11T17:14:04.461,2.154,1.646,5.244,1.098
1544566444461,2018-12-11T17:14:04.461,2.154,1.524,9.817,1.220
1544566444461,2018-12-11T17:14:04.461,2.154,0.183,9.634,1.585
1544566444583,2018-12-11T17:14:04.583,2.276,-0.610,5.915,2.317
1544566444583,2018-12-11T17:14:04.583,2.276,-0.061,4.756,2.073
1544566444583,2018-12-11T17:14:04.583,2.276,0.305,1.768,1.524
1544566444714,2018-12-11T17:14:04.714,2.407,-0.610,1.524,1.220
1544566444714,2018-12-11T17:14:04.714,2.407,-0.427,-1.768,1.402
1544566444714,2018-12-11T17:14:04.714,2.407,1.707,-3.598,1.768
1544566444821,2018-12-11T17:14:04.821,2.514,-0.854,-4.817,0.610
1544566444821,2018-12-11T17:14:04.821,2.514,-0.732,-3.171,0.061
1544566444821,2018-12-11T17:14:04.821,2.514,1.280,1.341,0.915
1544566444931,2018-12-11T17:14:04.931,2.624,1.402,3.415,0.671
1544566444931,2018-12-11T17:14:04.931,2.624,0.976,1.768,-0.061
1544566444931,2018-12-11T17:14:04.931,2.624,0.793,0.122,-0.122
1544566445063,2018-12-11T17:14:05.063,2.756,0.610,-0.976,0.122
1544566445063,2018-12-11T17:14:05.063,2.756,0.732,-1.524,0.732
1544566445063,2018-12-11T17:14:05.063,2.756,1.159,-0.793,1.220
1544566445179,2018-12-11T17:14:05.179,2.872,1.341,-0.488,0.915
1544566445179,2018-12-11T17:14:05.179,2.872,1.098,-1.463,0.793
1544566445179,2018-12-11T17:14:05.179,2.872,0.671,-2.012,0.793
1544566445293,2018-12-11T17:14:05.293,2.986,0.671,-1.707,0.915
1544566445293,2018-12-11T17:14:05.293,2.986,0.671,-1.341,1.402
1544566445293,2018-12-11T17:14:05.293,2.986,0.732,-1.341,1.402
1544566445418,2018-12-11T17:14:05.418,3.111,0.915,-0.366,1.098
1544566445418,2018-12-11T17:14:05.418,3.111,0.793,4.695,0.610
1544566445418,2018-12-11T17:14:05.418,3.111,0.000,5.854,0.244
1544566445528,2018-12-11T17:14:05.528,3.221,-0.366,4.695,0.305
1544566445528,2018-12-11T17:14:05.528,3.221,0.122,3.720,1.037
1544566445528,2018-12-11T17:14:05.528,3.221,0.610,2.988,1.037
1544566445656,2018-12-11T17:14:05.656,3.349,0.976,1.951,0.671
1544566445656,2018-12-11T17:14:05.656,3.349,1.280,1.463,0.793
1544566445656,2018-12-11T17:14:05.656,3.349,1.463,0.915,1.341
1544566445790,2018-12-11T17:14:05.790,3.483,1.890,-0.976,2.012
1544566445790,2018-12-11T17:14:05.790,3.483,2.378,-3.537,2.256
1544566445790,2018-12-11T17:14:05.790,3.483,2.744,-5.549,2.195
1544566445909,2018-12-11T17:14:05.909,3.602,3.110,-6.341,2.500
1544566445909,2018-12-11T17:14:05.909,3.602,3.293,-7.317,3.415
1544566445909,2018-12-11T17:14:05.909,3.602,2.683,-8.293,3.780
1544566446027,2018-12-11T17:14:06.027,3.720,1.951,-7.378,3.780
1544566446027,2018-12-11T17:14:06.027,3.720,2.012,-6.646,4.146
1544566446027,2018-12-11T17:14:06.027,3.720,2.195,-5.000,4.146
1544566446138,2018-12-11T17:14:06.138,3.831,2.744,-1.341,2.927
1544566446138,2018-12-11T17:14:06.138,3.831,4.695,-0.488,2.683
1544566446138,2018-12-11T17:14:06.138,3.831,7.256,-3.780,4.146
1544566446252,2018-12-11T17:14:06.252,3.945,9.207,-9.878,5.732
1544566446252,2018-12-11T17:14:06.252,3.945,10.915,-17.256,7.866
1544566446252,2018-12-11T17:14:06.252,3.945,9.756,-22.012,9.268
1544566446401,2018-12-11T17:14:06.401,4.094,7.927,-27.439,8.415
1544566446401,2018-12-11T17:14:06.401,4.094,6.646,-33.171,5.793
1544566446401,2018-12-11T17:14:06.401,4.094,4.085,-31.829,2.805
1544566446486,2018-12-11T17:14:06.486,4.179,0.915,-28.902,0.549
1544566446486,2018-12-11T17:14:06.486,4.179,-1.341,-24.268,-1.280
1544566446486,2018-12-11T17:14:06.486,4.179,-3.232,-15.671,-3.537
1544566446635,2018-12-11T17:14:06.635,4.328,-5.244,-7.073,-6.280
1544566446635,2018-12-11T17:14:06.635,4.328,-7.500,-3.354,-9.390
1544566446635,2018-12-11T17:14:06.635,4.328,-9.146,-2.805,-12.378
1544566446734,2018-12-11T17:14:06.734,4.427,-10.610,-7.256,-12.988
1544566446734,2018-12-11T17:14:06.734,4.427,-10.488,-8.354,-11.890
1544566446734,2018-12-11T17:14:06.734,4.427,-9.146,-1.159,-10.976
1544566446847,2018-12-11T17:14:06.847,4.540,-7.561,5.000,-9.878
1544566446847,2018-12-11T17:14:06.847,4.540,-6.463,4.390,-6.159
1544566446847,2018-12-11T17:14:06.847,4.540,-3.232,9.939,-1.951
1544566446971,2018-12-11T17:14:06.971,4.664,0.671,14.512,2.683
1544566446971,2018-12-11T17:14:06.971,4.664,2.683,13.293,6.098
1544566446971,2018-12-11T17:14:06.971,4.664,1.951,4.817,6.280
1544566447095,2018-12-11T17:14:07.095,4.788,-0.122,-5.793,2.256
1544566447095,2018-12-11T17:14:07.095,4.788,-2.744,-11.707,-3.537
1544566447095,2018-12-11T17:14:07.095,4.788,-4.512,-10.549,-7.805
1544566447203,2018-12-11T17:14:07.203,4.896,-4.939,-3.354,-9.512
1544566447203,2018-12-11T17:14:07.203,4.896,-4.329,0.366,-9.024
1544566447203,2018-12-11T17:14:07.203,4.896,-2.988,0.122,-6.280
1544566447332,2018-12-11T17:14:07.332,5.025,-1.098,1.890,-3.293
1544566447332,2018-12-11T17:14:07.332,5.025,0.915,4.024,-0.732
1544566447332,2018-12-11T17:14:07.332,5.025,2.073,8.841,1.951
1544566447440,2018-12-11T17:14:07.440,5.133,-0.061,18.780,3.293
1544566447440,2018-12-11T17:14:07.440,5.133,-2.195,25.793,3.354
1544566447440,2018-12-11T17:14:07.440,5.133,-2.012,16.463,5.000
1544566447562,2018-12-11T17:14:07.562,5.255,-2.622,3.232,6.768
1544566447562,2018-12-11T17:14:07.562,5.255,-6.646,-11.341,7.195
1544566447562,2018-12-11T17:14:07.562,5.255,-12.134,-9.634,4.085
1544566447694,2018-12-11T17:14:07.694,5.387,-9.756,21.159,-0.549
1544566447694,2018-12-11T17:14:07.694,5.387,-3.293,35.061,0.976
1544566447694,2018-12-11T17:14:07.694,5.387,-1.220,41.524,4.451
1544566447805,2018-12-11T17:14:07.805,5.498,-2.805,43.963,4.695
1544566447805,2018-12-11T17:14:07.805,5.498,-5.122,38.659,2.805
1544566447805,2018-12-11T17:14:07.805,5.498,-7.317,20.671,2.317
1544566447965,2018-12-11T17:14:07.965,5.658,-9.573,5.671,3.354
1544566447965,2018-12-11T17:14:07.965,5.658,-9.817,11.341,2.012
1544566447965,2018-12-11T17:14:07.965,5.658,-9.573,16.341,1.524
1544566448050,2018-12-11T17:14:08.050,5.743,-10.244,21.098,0.549
1544566448050,2018-12-11T17:14:08.050,5.743,-11.890,21.890,0.244
1544566448050,2018-12-11T17:14:08.050,5.743,-11.890,21.098,0.732
1544566448159,2018-12-11T17:14:08.159,5.852,-11.585,20.488,1.585
1544566448159,2018-12-11T17:14:08.159,5.852,-10.793,20.427,2.744
1544566448159,2018-12-11T17:14:08.159,5.852,-9.329,19.878,3.841
1544566448288,2018-12-11T17:14:08.288,5.981,-8.171,20.427,4.817
1544566448288,2018-12-11T17:14:08.288,5.981,-6.951,21.341,5.976
1544566448288,2018-12-11T17:14:08.288,5.981,-4.756,19.817,7.317
1544566448400,2018-12-11T17:14:08.400,6.093,-3.232,18.171,7.622
1544566448400,2018-12-11T17:14:08.400,6.093,-3.049,17.256,6.585
1544566448400,2018-12-11T17:14:08.400,6.093,-2.073,9.268,5.366
1544566448522,2018-12-11T17:14:08.522,6.215,0.366,4.329,4.817
1544566448522,2018-12-11T17:14:08.522,6.215,-1.585,8.841,3.598
1544566448522,2018-12-11T17:14:08.522,6.215,-5.671,4.085,2.561
1544566448652,2018-12-11T17:14:08.652,6.345,-6.098,0.793,2.317
1544566448652,2018-12-11T17:14:08.652,6.345,-5.122,5.183,2.073
1544566448652,2018-12-11T17:14:08.652,6.345,-4.512,9.390,2.378
1544566448756,2018-12-11T17:14:08.756,6.449,-3.598,11.037,2.439
1544566448756,2018-12-11T17:14:08.756,6.449,-3.171,10.183,2.378
1544566448756,2018-12-11T17:14:08.756,6.449,-2.866,9.085,2.317
1544566448884,2018-12-11T17:14:08.884,6.577,-2.439,9.207,1.646
1544566448884,2018-12-11T17:14:08.884,6.577,-2.134,7.988,1.098
1544566448884,2018-12-11T17:14:08.884,6.577,-1.768,7.012,0.305
1544566449006,2018-12-11T17:14:09.006,6.699,0.000,6.585,0.976
1544566449006,2018-12-11T17:14:09.006,6.699,1.402,1.159,1.951
1544566449006,2018-12-11T17:14:09.006,6.699,0.427,-3.232,0.976
1544566449119,2018-12-11T17:14:09.119,6.812,-0.427,-4.634,-1.402
1544566449119,2018-12-11T17:14:09.119,6.812,-0.183,-3.110,-2.744
