epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1544565646209,2018-12-11T17:00:46.209,0.000,-0.390,0.882,0.218
1544565646209,2018-12-11T17:00:46.209,0.000,-0.390,0.878,0.158
1544565646209,2018-12-11T17:00:46.209,0.000,-0.368,0.871,0.090
1544565646322,2018-12-11T17:00:46.322,0.113,-0.383,0.855,0.070
1544565646322,2018-12-11T17:00:46.322,0.113,-0.389,0.848,0.117
1544565646322,2018-12-11T17:00:46.322,0.113,-0.376,0.858,0.181
1544565646444,2018-12-11T17:00:46.444,0.235,-0.450,0.873,0.188
1544565646444,2018-12-11T17:00:46.444,0.235,-0.444,0.891,0.204
1544565646444,2018-12-11T17:00:46.444,0.235,-0.421,0.888,0.197
1544565646574,2018-12-11T17:00:46.574,0.365,-0.423,0.863,0.157
1544565646574,2018-12-11T17:00:46.574,0.365,-0.446,0.860,0.147
1544565646574,2018-12-11T17:00:46.574,0.365,-0.434,0.864,0.157
1544565646683,2018-12-11T17:00:46.683,0.474,-0.413,0.864,0.143
1544565646683,2018-12-11T17:00:46.683,0.474,-0.417,0.870,0.124
1544565646683,2018-12-11T17:00:46.683,0.474,-0.411,0.875,0.118
1544565646806,2018-12-11T17:00:46.806,0.597,-0.406,0.875,0.124
1544565646806,2018-12-11T17:00:46.806,0.597,-0.409,0.871,0.137
1544565646806,2018-12-11T17:00:46.806,0.597,-0.437,0.859,0.148
1544565646930,2018-12-11T17:00:46.930,0.721,-0.445,0.853,0.164
1544565646930,2018-12-11T17:00:46.930,0.721,-0.449,0.851,0.166
1544565646930,2018-12-11T17:00:46.930,0.721,-0.452,0.853,0.152
1544565647053,2018-12-11T17:00:47.053,0.844,-0.452,0.851,0.139
1544565647053,2018-12-11T17:00:47.053,0.844,-0.439,0.842,0.126
1544565647053,2018-12-11T17:00:47.053,0.844,-0.440,0.853,0.138
1544565647176,2018-12-11T17:00:47.176,0.967,-0.452,0.855,0.143
1544565647176,2018-12-11T17:00:47.176,0.967,-0.454,0.858,0.138
1544565647176,2018-12-11T17:00:47.176,0.967,-0.453,0.862,0.136
1544565647278,2018-12-11T17:00:47.278,1.069,-0.441,0.857,0.138
1544565647278,2018-12-11T17:00:47.278,1.069,-0.451,0.854,0.136
1544565647278,2018-12-11T17:00:47.278,1.069,-0.453,0.854,0.133
1544565647430,2018-12-11T17:00:47.430,1.221,-0.446,0.853,0.133
1544565647430,2018-12-11T17:00:47.430,1.221,-0.443,0.864,0.129
1544565647430,2018-12-11T17:00:47.430,1.221,-0.432,0.864,0.117
1544565647538,2018-12-11T17:00:47.538,1.329,-0.438,0.875,0.122
1544565647538,2018-12-11T17:00:47.538,1.329,-0.447,0.872,0.130
1544565647538,2018-12-11T17:00:47.538,1.329,-0.427,0.856,0.125
1544565647638,2018-12-11T17:00:47.638,1.429,-0.429,0.851,0.114
1544565647638,2018-12-11T17:00:47.638,1.429,-0.428,0.854,0.116
